,| 男性的 |,| 女性的 |,不分男女的 :,最常用於男性 = 男女,最常用於女性 = 女男,,,,,,
女,Emma,,,德語、英語,源自古高地德語 ermen，意為「普遍」、「宇宙」，中世紀以來廣受歡迎。,,,,,,
女,Emmaline,,,英語、法語,結合 Emma 與 Caroline 的名字，表示溫柔堅定。,,,,,,
女,Emmalyn,,,英語（現代）,Emmeline 的變體，或是 Emma 和時尚名字後綴 lyn 的組合。,,,,,,
男,Emmanuel,Manu（法語） Manny（英語）,,聖經、法語、英語,源自希伯來文名稱 עִמָּנוּאֵל (ʿImmanuʾel)，意為“上帝與我們同在”，其詞根 עִם (ʿim) 意為“與…同在”，אֵל (ʾel) 意為“上帝”。這是《舊約》中預言的彌賽亞之名。自16世紀以來，該名稱在英格蘭以 Emmanuel 和 Immanuel 的拼寫形式使用，但並未廣泛傳播。這個名字在歐洲大陸更為常見，尤其是在西班牙和葡萄牙（拼寫為 Manuel 和 Manoel）。,,,,,,
女,Emmanuelle,,,法語、希伯來語,法語的 Emmanuel 女性變體，意為「上帝與我們同在」。,,,,,,
女,Emmeline,,,英語,源自古法語 Emeline，是日耳曼人名的縮寫，以 amal 開頭，意為「永不停歇、精力充沛、勇敢」。諾曼人將此名字引入英格蘭。,,,,,,
男女,Emmerson,,,,Emerson 的變體。,,,,,,
男,Emmet,,,英語、德語,源於 Emma 的男性變體，也可能源自德語 Erma；有「真誠」、「強壯」的含義。,,,,,,
女,Emmie,,,英語,Emma 或 Emily 的暱稱。,,,,,,
男,Emmitt,,,英語,埃米特 (Emmett) 的變體。美式足球員埃米特史密斯 (Emmitt Smith，1969-) 是該名稱的著名持有者。,,,,,,
女,Emmy,,,英語、法語、瑞典語、荷蘭語、德語,Emma 或 Emily 的暱稱。,,,,,,
女,Emmylou,,,英語（現代）,Emma 和 Lou 的組合，流行於南方文化與音樂圈；表示親切與愛。,,,,,,
男女,Emory,,,英語,Emery 的變體。,,,,,,
女,Enid,,,威爾斯語,意為「生命」、「靈魂」，在亞瑟王文學中為忠貞女性角色。,,,,,,
男,Ennis,,,愛爾蘭語,來自地名，意為「島嶼」、「和平之地」，亦見於愛爾蘭男性名。,,,,,,
男,Enoch,,,希伯來語,意為「奉獻」、「受教之人」，聖經人物，據說他未經死亡就升天。,,,,,,
女,Enola,,,英語（現代）,“Alone”的倒寫，因小說角色 Enola Gay 而流行；代表堅強獨立的女性角色。,,,,,,
女,Enya,,,愛爾蘭語,愛爾蘭名字 Eithne 的英譯，意為「堅果核仁」象徵內在力量與溫柔。,,,,,,
男,Enzo,,,義大利語、德語,Lorenzo 或 Heinz 的縮寫，義大利語中常見男性名，意為「家庭之首」。,,,,,,
男,Ephraim,,,希伯來語,意為「我必繁衍」，聖經人物–約瑟的兒子，象徵多子多福,,,,,,
女,Epiphany,Eppie,,,源自基督教節日（1月6日），該節日是為了紀念三博士探望聖嬰耶穌。它也是一個英語單詞，意為“突然出現”或“突然察覺”，最終源於希臘語ἐπιφάνεια (epiphaneia)，意為“顯現”。,,,,,,
女,Eppie,,,,尤菲米亞 (Euphemia) 或赫夫齊巴 (Hephzibah) 的暱稱。,,,,,,
男,Eric,,,英語、瑞典語、德語、西班牙語,"意為“永遠的統治者”，源自古挪威語名稱 Eiríkr，由 ei（永遠、始終）和 ríkr（統治者、國王）兩個詞根組成。一位著名的姓氏是 Eiríkr inn Rauda（英語為 Eric the Red），他是一位 10 世紀的航海家和探險家，發現了格陵蘭島。瑞典、丹麥和挪威幾位早期國王也使用過這個名字。這個常見的挪威語名字最初是由盎格魯-撒克遜時期的丹麥定居者帶到英國的。在中世紀，它在英格蘭並不流行，但在 19 世紀重新流行起來，部分原因是弗雷德里克·威廉·法拉爾 (Frederic William Farrar) 的兒童小說《Eric, or Little by Little》(1858)。",,,,,,
女,Erica,,,拉丁語女性形式,Erik 的女性形式，意為「永遠的統治者」,,,,,,
男,Erick,,,英語,Eric 的變體。,,,,,,
女,Ericka,,,英語,埃里卡 (Erica) 的變體。,,,,,,
男,Ericson,,,挪威/瑞典語,Eric 的 patronymic，「Eric 之子」,,,,,,
男,Erik,,,北歐語,來自古斯堪地那維亞語 Eiríkr，「永遠的統治者」,,,,,,
女,Erika,,,北歐語,Eric 的女性形式,,,,,,
女,Erin,,,英語、愛爾蘭語,愛爾蘭島的詩意古名，意指「和平地」；現代女性常用,,,,,,
女,Erle (1),,,挪威,Jarl 的女性形式。Jarl : (在古挪威語中意為「酋長、貴族」（與英語單字earl同源）。在挪威詩歌《Rígsþula Jarl》中，他是神祇Ríg的兒子，也是武士族的創始人。),,,,,,
男,Erle (2),,"Earl, Earle",英語,Earl 的變體。,,,,,,
女,Erma,,,英語,伊爾瑪（Irma）的變體。它於 19 世紀開始在英語世界中與伊爾瑪（Irma）同時使用。,,,,,,
女,Ermintrude,Ermie,,英語（古語）,Ermendrud 的英語形式。直到 19 世紀還偶爾使用。,,,,,,
男,Ern,Ernie,,英語,Ernest 的縮寫。,,,,,,
男,Ernest,Ernie,,英語、法語、加泰隆尼亞語、波蘭語、斯洛伐克語、斯洛維尼亞語,源自古高地德語 ernust，意為「嚴肅的、認真的」。 18世紀，德國漢諾威王朝繼承英國王位時，該詞被引入英國，但直到18世紀才開始流行。美國作家兼冒險家歐內斯特·海明威（1899-1961）是這個名字的著名使用者。奧斯卡王爾德也曾用該名字來指稱其喜劇《認真的重要性》（1895年）中的一個角色。,,,,,,
女,Ernestine,Ernie,,法德混合形式,女性版 Ernest，「嚴肅、真誠」,,,,,,
男,Ernesto,Ernie,,西班牙語、義大利語,Ernest 的拉丁語義譯,,,,,,
男,Ernie,,,英語,Ernest 的拉丁語義譯,,,,,,
男,Errol,,,英語,源自蘇格蘭姓氏，原源自於珀斯郡一個同名村莊。澳洲演員埃羅爾弗林（1909-1959）將其作為名字推廣。,,,,,,
男,Erskine,,,英語（罕見）,源自蘇格蘭姓氏，最初源自於格拉斯哥附近一個城鎮的名字。該城鎮的名字在蓋爾語中可能意為「突出的高度」。愛爾蘭小說家兼民族主義者厄斯金·奇爾德斯（Erskine Childers，1870-1922）是該姓氏的著名傳承者。,,,,,,
女,Erykah,,,英語（現代）,Erica 的變體。,,,,,,
女,Eryn,,,英語（現代）,艾琳 (Erin) 的變體。,,,,,,
女,Esmae,,,英語（現代）,Esmé 的女性形式。,,,,,,
女,Esmaralda,,,英語（罕見）,Esmeralda 的變體。,,,,,,
女男,Esme,,,英語,Esmé 的變體。,,,,,,
女男,Esmé,,,英語,在古法語中意為「受尊敬的」或「受愛戴的」。這個名稱最早記載於蘇格蘭，由16世紀的倫諾克斯公爵一世所用。如今，該名稱更常用作女性名字。,,,,,,
女,Esmée,,,英語（英國）、荷蘭語,Esmé 的女性形式。,,,,,,
女,Esmee,,,英語（英國）、荷蘭語,Esmé 的女性形式。,,,,,,
女,Esmeralda,Esmie,,西班牙語、葡萄牙語、英語、阿爾巴尼亞語、文學,在西班牙語和葡萄牙語中意為“綠寶石”。維克多·雨果在其1831年的小說《巴黎聖母院》中使用了這個名字，小說中埃斯梅拉達是一位深受卡西莫多愛慕的羅姆女孩。此後，該名字在英語世界中偶爾使用。,,,,,,
男,Esmond,,,英語（罕見）,源自古英語元素 est（恩典）和 mund（保護）。諾曼征服後，這個古英語名稱很少被使用。 19世紀，它偶爾復興。,,,,,,
男,Esmund,Esmie,,英語（罕見）,Esmond 的變體。,,,,,,
女,Esperanza,,,西班牙語,意為「希望」,,,,,,
女,Essa,,,英語,可能為 Esther 的簡化形式，意即「星星」,,,,,,
女,Essence,Essie,,英語（現代）,源自英語單字essence，意為「氣味、香氣」或「基本品質」。其最終字源為拉丁文esse（意為「存在」）。,,,,,,
女,Essie,,Esta,英語,埃斯特爾 (Estelle) 或埃絲特 (Esther) 的暱稱。,,,,,,
女,Esta,,,英語,以斯帖 (Esther) 的暱稱。,,,,,,
女,Estella,"Estie, Essie, Ella",,英語,Estelle 的拉丁語形式。這是查爾斯狄更斯的小說《遠大前程》（1860 年）中女主角埃斯特拉郝薇香的名字。,,,,,,
女,Estelle,"Estie, Elle",,英語、法語,源自古法文名，意為“星”，最後源自拉丁文 stella。在中世紀英語世界中，這個詞並不常見，但在19世紀又重新流行起來，或許是因為查爾斯狄更斯的小說《遠大前程》（1860年）中的角色埃斯特拉·郝薇香。,,,,,,
女,Esther,"Essie, Esta, Estie",,英語、法語、西班牙語、荷蘭語、德語、丹麥語、挪威語、瑞典語、猶太語、聖經語、聖經拉丁語、聖經希臘語,"源自希伯來文名字 אֶסְתֵר (ʾEsṯer)，波斯語中意為「星星」。也可能源自於近東女神伊什塔爾 (Ishtar) 的名字。 《舊約》中的《以斯帖記》講述了波斯王猶太妻子以斯帖的故事。國王的顧問哈曼勸說國王消滅境內所有猶太人。表兄末底改警告了以斯帖的陰謀，她坦白了自己的猶太血統，並說服國王處死哈曼。她最初的希伯來名字是哈達薩 (Hadassah)。
自新教改革以來，這個名字一直在英語世界中使用。在美國，隨著總統格羅弗·克利夫蘭之女埃絲特·克利夫蘭 (Esther Cleveland，1893-1980) 的出生，這個名字的受歡迎程度進一步提升。",,,,,,
男,Ethan,,,英語、法語、聖經、聖經拉丁語,"源自希伯來文 אֵיתָן (ʾEṯan)，意為「堅固、持久、堅定」。在《舊約》中，一些次要人物也使用過這個名字，其中包括智者以斯拉人伊桑，據說他是《詩篇》第89篇的作者。
宗教改革後，它在英語世界中偶爾被用作名字，由於革命家伊桑·艾倫（1738-1789）的名聲，它在美國變得相當普遍。直到20世紀末，它才開始流行起來。它是伊迪絲華頓小說《伊森弗洛美》（1911年）中主角的名字，該小說講述了一個男人愛上了他妻子的表妹的故事。",,,,,,
f,Ethel,,,英語,以古英語元素æðele（意為「高貴」）開頭的姓名縮寫。這個名稱誕生於19世紀，當時許多古英語姓名復興。威廉·梅克皮斯·薩克雷的小說《紐科姆一家》（1855年）和C·M·楊格的小說《雛菊鏈》（1856年）使其廣為流傳。美國女演員兼歌手埃塞爾·默曼（1908-1984）是該名稱的著名使用者。,,,,,,
男,Ethelred,,,古英語,ēthel（高貴）＋ ræd（建議），意為「高貴的建議者」,,,,,,
男,Ethelbert,Bertie,,英語（罕見）,Æþelbeorht 的中古英語形式。諾曼征服後，這個名稱已非常罕見，但在 19 世紀曾短暫復興。,,,,,,
女,Ethelinda,"Ethie, Lindy",,英語（罕見）,日耳曼名字 Adallinda 的英語形式。這個名字在中世紀非常罕見，但在 19 世紀初又重新流行起來。,,,,,,
女,Ethelyn,"Ethie, Ellie",,英語,(Ethel) 的暱稱。,,,,,,
女,Etta,,,英語,Henrietta 的縮寫形式，以及其他以 etta 結尾的名字。美國歌手 Etta James（1938-2012）是這個名字的著名使用者，她的藝名取自其真名 Jamesetta。,,,,,,
女,Ettie,,,英語,亨麗埃塔 (Henrietta) 的縮寫，以及其他以 etta 或 ette 結尾的名字。,,,,,,
女,Eudora,,,希臘神話,在希臘文中意為“美好的禮物”，由元素εὖ（eu）意為“好的”和δῶρον（doron）意為“禮物”組成。這是希臘神話中畢星團之一的仙女的名字。,,,,,,
男,Eugene,,,英語,"Eugenius 的英語形式，是希臘文名 Εὐγένιος (Eugenios) 的拉丁文形式，源自希臘文 εὐγενής (eugenes)，意為「出身名門」。它由 εὖ (eu) 意為「好」和 γενής (genes) 意為「出生」組成。幾位聖徒和四位教宗都用這個名字。
這個名字在中世紀的西歐並不常見。後來，它變得更加流行，部分原因是薩伏依的歐根親王（1663-1736），一位出生於法國、效力於奧地利帝國的將軍。美國劇作家尤金·奧尼爾（1888-1953）是這個名字的著名傳承者。",,,,,,
女,Eugenia,,,義大利語、西班牙語、羅馬尼亞語、波蘭語、英語、古希臘語（拉丁化）,Eugenius（見Eugene）的女性形式。這個名字由一位半傳奇的3世紀聖徒所用，她透過喬裝成男來逃避迫害。中世紀時期，該名字在英格蘭偶爾出現，但直到19世紀才被廣泛使用。,,,,,,
女,Eugenie,Genie,,德語、英語,Eugénie 的德語和英語形式，Eugenia 的法語形式。,,,,,,
女,Eula,,,英語,Eulalia 的縮寫。,,,,,,
女,Eulalia,,,西班牙語、義大利語、波蘭語、英語、古希臘語,源自希臘文 εὔλαλος (eulalos)，意為“甜言蜜語”，其本身又源自於 εὖ (eu)，意為“好”，λαλέω (laleo)，意為“交談”。這是一位公元4世紀早期西班牙梅里達的聖徒兼殉道者的名字。另一位與此同名的殉道者，同時代，是巴塞隆納的守護神。這兩位聖徒可能是同一個人。,,,,,,
女,Eunice,,,聖經、英語、聖經拉丁語,希臘文名Εὐνίκη (Eunike) 的拉丁化形式，意為“美好的勝利”，源自 εὖ (eu) 意為“美好”和 νίκη (nike) 意為“勝利”。 《新約》中提到她是提摩太的母親。作為英語名，它首次使用於新教改革之後。,,,,,,
女,Euphemia,"Effie, Eppie, Femie, Phemie",,古希臘語、英語（古風）,意為“用吉兆之語”，源自希臘語 εὐφημέω（euphemeo），由 εὖ（eu）意為“好”，φημί（phemi）意為“說，宣告”衍生而來。聖尤菲米亞是迦克墩早期的一位殉道者。,,,,,,
男,Eustace,,,英語,Eustachius 或 Eustathius 的英語形式，這兩個名字源自希臘語，在後古典時期被混用。聖尤斯塔斯（Saint Eustace）有兩種拼寫方式，他是一位公元2世紀的羅馬將軍，在狩獵時看到鹿角之間有一個十字架的景象後皈依基督教。他因拒絕崇拜羅馬諸神而被燒死，如今被視為獵人的守護神。由於他，這個名字在中世紀的英格蘭很常見，但如今已很少見。,,,,,,
女,Eustacia,,,英語（罕見）,(Eustace) 的女性形式。,,,,,,
女,Eva,,,西班牙語、義大利語、葡萄牙語、英語、捷克語、斯洛伐克語、德語、荷蘭語、瑞典語、挪威語、愛沙尼亞語、丹麥語、冰島語、法羅語、羅馬尼亞語、希臘語、斯洛維尼亞語、保加利亞語、馬其頓語、克羅埃西亞地亞語、古語、喬治亞語、聖​​經、亞語、聖經,"Eve 一詞在多種語言中的使用形式。此形式用於拉丁文《新約》譯本，而 Hava 則用於拉丁文《舊約》。阿根廷第一夫人伊娃·庇隆 (1919-1952) 是該詞的著名使用者，她是音樂劇《艾薇塔》的主角。這個名字也出現在哈里特·比徹·斯託的小說《湯姆叔叔的小屋》(1852) 中，主角小伊娃 (Little Eva) 的名字也出現在其中，而她的真名實際上是伊万傑琳 (Evangeline)。
這也是俄文 Ева (參見 Yeva) 的另一種音標。",,,,,,
女,Evaline,,,英語,(Evelyn) 的變體。,,,,,,
女,Evalyn,,,英語, (Evelyn) 的變體。,,,,,,
男,Evan,,,威爾斯語、英語,Ifan 的英語形式，John 的威爾斯形式。,,,,,,
女,Evangelina,Lina,,西班牙語、英語,Evangeline 的拉丁語形式。,,,,,,
女,Evangelista,,,義大利語、西班牙語、葡萄牙語,在義大利語、西班牙語和葡萄牙語中意為“福音傳道者、傳教士”，源自拉丁語，最終源自希臘語 εὐάγγελος (euangelos)，意為“帶來好消息”。這個詞常用於紀念四位福音傳道者（新約福音書的作者：馬太、馬可、路加和約翰）。傳統上指男性，但偶爾也用於指女孩。義大利物理學家兼數學家埃萬傑利斯塔·托里拆利（1608-1647）是這個詞的著名使用者，他發明了氣壓計。,,,,,,
女,Eve,,,英語、愛沙尼亞語、聖經,"源自希伯來文名稱 חַוָּה (Ḥawwa)，該名稱源自希伯來文單字 חָוָה (ḥawa)，意為「呼吸」，或相關單字 חָיָה (ḥaya)，意為「生存」。根據《舊約聖經·創世記》，夏娃和亞當是人類的始祖。上帝用亞當的一根肋骨創造了她，作為祂的伴侶。在蛇的引誘下，她偷吃了禁果，並與亞當分享了一些，導致他們被逐出伊甸園。
儘管有這種潛在的負面聯想，但在中世紀，基督徒偶爾也會使用這個名字。在英語世界中，Eve 和拉丁語形式的 Eva 在 19 世紀都得以復興，但後者更為常用。",,,,,,
女,Eveleen,"Evie, Evvie",,英語（罕見）,要么是 Eve 的縮寫，要么是 Evelyn 的變體。,,,,,,
女,Evelina,"Lina, Evy",,英語、義大利語、瑞典語、立陶宛語、希臘語、俄語、保加利亞語,Aveline 的拉丁語形式。作家范妮·伯尼 (Fanny Burney) 在其處女作《埃芙莉娜》(Evelina，1778 年) 中重新使用了該詞，以指代女主角。該詞通常被認為是相關名稱 Evelyn 的變體，或 Eve 的進一步演繹。,,,,,,
女,Eveline,"Evie, Evvie","Evaline, Evalyn, Evelyn, Evelynn, Eveleen(英語) Évelyne(法) Evelien(荷蘭語)",英語、法語、荷蘭語,(Evelina) 的變體。,,,,,,
女,Evelyn,"Evie, Evvie","Evaline, Evalyn, Eveline, Evelynn, Eveleen (英語)",英語、德語,"源自英語姓氏 Aveline，姓氏源自於名字 Aveline。 17 世紀，當 Aveline 首次用作名字時，它更常用於男孩，但現在幾乎被視為完全女性化的名字，部分原因可能在於它與 Eve 和 Evelina 相似。
這個名字在 20 世紀初風靡整個英語世界。 21 世紀初，它捲土重來，並於 2017 年重返美國流行榜前十名。",,,,,,
女,Evelynn,,,英語（現代）,(Evelyn) 的變體。,,,,,,
男女,Ever,,,英語（現代）,表示永恆，亦可能源於 Everard 的簡化形式。,,,,,,
男,Everard,,,古英語、日耳曼語,意為「強壯如野豬」，源於 eber（野豬）＋ hard（勇敢）。,,,,,,
男女,Everest,,,英語（現代）,源自世界最高峰的英語名稱，以英國測量員喬治·埃弗勒斯 (1790-1866) 的名字命名。,,,,,,
男,Everett,"Evie, Rett","Everette, Everitt",英語,源自英語姓氏，姓氏源自名字 Everard。,,,,,,
男,Everette,"Evie, Rette","Everett, Everitt",英語,(Everett) 的變體。,,,,,,
男,Everitt,,,英語（罕見）,(Everett) 的變體。,,,,,,
女,Everlee,,,英語（現代）,Everly 的變體。,,,,,,
女,Everleigh,,,英語（現代）,Everly 的變體。,,,,,,
女,Everly,,"Everlee, Everly",英語（現代）,Everly 的變體。,,,,,,
女,Evette,,,英語,Variant of Yvette.,,,,,,
女,Evie,,,英語,Eve 或 Evelyn 的暱稱。,,,,,,
女,Evita,,,西班牙語、拉脫維亞語,Eva 的暱稱。,,,,,,
女,Evonne,,,英語,(Yvonne) 的變體。,,,,,,
女,Evvie,,,英語,Eve 或 Evelyn 的暱稱。,,,,,,
男,Ewart,,,英語（罕見）,源自英格蘭和蘇格蘭姓氏，該姓氏要么基於諾曼形式的愛德華，要么源自含義不明的地名。,,,,,,
男,Ezekiel,Zeke,,聖經，英語,以西結 (Ezekiel) 源自希伯來語名字 יְחֶזְקֵאל (Yeḥezqel)，意為“上帝將堅固”，其詞根 חָזַק (ḥazaq) 意為“堅固”，אֵל (ʾel) 。以西結是《舊約》中一位重要的先知，也是《以西結書》的作者。他住在耶路撒冷，直到巴比倫征服並俘虜以色列，之後他被擄到巴比倫。 《以西結書》描述了他生動的象徵性異象，預言了以色列王國的復興。作為英語名字，Ezekiel 自新教改革以來一直被使用。,,,,,,
男,Ezra,,,英語、希伯來文、聖經,希伯來文意為「幫助」。以斯拉（Ezra）是《舊約》中的一位先知，也是《以斯拉記》的作者。自新教改革以來，該名字在英語世界一直被用作一個名字。美國詩人埃茲拉·龐德（1885-1972）是這個名字的著名作者。,,,,,,
男,Ezrah,,,希伯來語,Ezra 的拼寫變體，意義相同。,,,,,,
男,Ezy,,,英語（現代）,創意拼寫名，可能來自 Ezra 或 Ezekiel 的縮寫。,,,,,,
F,,,,,,,,,,,
男,Fabian,,,德語、荷蘭語、波蘭語、羅馬尼亞語、英語,源自羅馬姓氏Fabianus，該姓氏源自Fabius。聖法比安是一位公元3世紀的教宗。,,,,,,
男,Fabio,,,義大利語、西班牙語,Fabian 的義大利變體，常見男性名。,,,,,,
女,Fabiola,,,拉丁語、西班牙語,Fabian 的女性變體。,,,,,,
女,Fadia,,,阿拉伯語,意為「救贖者」、「保護者」。,,,,,,
男,Fadil,,,阿拉伯語、阿爾巴尼亞語,在阿拉伯語中意為「有德的，優秀的」。此音標代表兩個既相關又不同的阿拉伯名稱：فاضل（其中第一個元音較長）和 فضيل（其中第二個元音較長）。,,,,,,
女,Fae,,,英語,Fay 的變體。,,,,,,
女,Faezah,,,阿拉伯語、馬來語,意為「成功」、「勝利」。,,,,,,
女,Faith,"Fae, Fay, Faye",Faithe,英語,源自英語單字“faith”，最後源自於拉丁文“fido”（意為“信任”）。這是17世紀清教徒所採用的美德名稱之一。,,,,,,
女,Faithe,"Fae, Fay, Faye",,英語（罕見）,Faith 的變體。,,,,,,
女,Fallon,,,英語（現代）,源自愛爾蘭姓氏，是愛爾蘭蓋爾語 Ó Fallamháin 的英語化形式，而 Ó Fallamháin 本身又源於名字 Fallamhán，意為“領導者”。 20 世紀 80 年代，該名稱因肥皂劇《豪門恩怨》（Dynasty）中的一個角色而廣為人知。,,,,,,
女,Fancy,,,英語（罕見）,源自英語單字 fancy，意為「喜歡、喜愛、傾向」或「裝飾性」。它源自於中古英語 fantasie，而 fantasie 又經由諾曼法語和拉丁語演變而來，源自希臘語 φαίνω (phaino)，意為「展示、出現」。,,,,,,
女,Fannie,,,英語,(Fanny) 的變體。,,,,,,
女,Fanny,,,英語、法語、西班牙語、瑞典語,Frances、Françoise 或 Stéphanie 的暱稱。在英語世界，自 19 世紀末以來，該詞一直是一個粗俗的俚語，後來逐漸不再使用。,,,,,,
女,Farah,,,阿拉伯語,意為「喜悅」、「快樂」。,,,,,,
男,Farid,,,阿拉伯語,意為「獨特的」、「無與倫比的」。,,,,,,
女,Farida,,,阿拉伯語,Farid 的女性形式，意為「稀有的」、「唯一的」。,,,,,,
男,Farley,,,英語（罕見）,源自一個姓氏，該姓氏最初源自於一個地名，在古英語中意為「蕨類植物空地」。該姓氏的一位著名使用者是加拿大作家法利·莫瓦特（1921-2014）。,,,,,,
男,Faron,,,法語（古法語）、英語,Faro 的法文形式。作為英語名，它可能源自於一個由名字衍生而來的法國姓氏。,,,,,,
女,Farran,,,英語/愛爾蘭語,意為「冒險者」或「餅乾製造者」；多重來源。,,,,,,
男,Farrell,,,英語,源自愛爾蘭姓氏 Ó Fearghail 的英語形式，源自於名字 Fearghal。,,,,,,
男,Farris,,,英語,來自姓氏，可能源於 Fergus 或 Ferris，意為「力量」或「鐵匠」。,,,,,,
男,Fatima,,,阿拉伯語,穆罕默德之女的名字，意為「斷奶者」，在伊斯蘭文化中具重大地位。,,,,,,
男,Faust,,,拉丁語、德語,意為「幸運的」；與傳說人物浮士德有關。,,,,,,
女,Fausta,,,義大利語、古羅馬語,Faust 的女性形式，意為「幸運的」。,,,,,,
女,Faustina,,,義大利語、古羅馬語,Faustus 的女性形式，古羅馬貴族名。,,,,,,
男女,Favour,,,英語（非洲）,源自於英語單字 favor，最終源自於拉丁文 faveo（意為「青睞」）。該名字在尼日利亞和非洲其他地區最為常見。,,,,,,
女,Fawn,,,英語,源自英語單字 fawn，意為小鹿。,,,,,,
女男,Fay,,,英語,部分源自英語單字 fay，意為“仙女”，源自中古英語 faie，意為“神奇的、迷人的”，最終（經由古法語）源自拉丁語 fata，意為“命運三女神”。它以摩根勒菲 (Morgan le Fay) 的名字出現在蒙茅斯的傑弗裡 (Geoffrey of Monmouth) 編年史中。在某些情況下，它可能被用作 Faith 的縮寫。自 19 世紀以來，它一直被用作女性名字。,,,,,,
女,Faye,,"Fae, Fay",英語,Fay 的變體。,,,,,,
男,Feivel,,,意第緒語,來自希伯來語 Phoebus，意為「光明」。,,,,,,
女,Felicia,"Lisha, Lecia（英語）",,英語、義大利語、西班牙語、羅馬尼亞語、荷蘭語、瑞典語、晚期羅馬語,拉丁名 Felicius 的女性形式，由 Felix 衍生而來。作為英語名，自中世紀以來偶爾使用。,,,,,,
女,Felicity,Flick,,英語,源自英語單字 felicity（意為「幸福」），最終源自於拉丁語 felicitas（意為「好運」）。這是17世紀左右清教徒所採用的美德名之一。有時，它也可以用作拉丁語名字 Felicitas 的英語形式。自1998年電視劇《Felicity》首播以來，這個名字在美國迅速走紅。在英國，它更為常見。,,,,,,
女,Felisha,,,英語（現代）、非裔美國人（現代）,Felicia 的變體。,,,,,,
男,Felipe,,,西班牙語、葡萄牙語,Philip 的變體，意為「愛馬者」。,,,,,,
男,Felix,,,德語、荷蘭語、瑞典語、挪威語、丹麥語、英語、羅馬尼亞語、古羅馬語、聖經語、聖經拉丁語,"源自於一個羅馬綽號，拉丁文意為「幸運、成功」。公元前一世紀，羅馬將軍蘇拉將這個綽號作為綽號或暱稱使用。在《新約》中，囚禁聖保羅的猶太總督也曾經用這個綽號。
由於其寓意良好，這個名字在早期基督教徒中很受歡迎，許多早期聖徒和四位教皇都曾使用過這個名字。自中世紀以來，這個名字在英國也開始使用，但在歐洲大陸更為流行。德國作曲家費利克斯·門德爾松（1809-1847）是這個名字的著名持有者。",,,,,,
女,Femie,,,英語（罕見）,(Euphemia) 的暱稱。,,,,,,
男,Fenton,,,英語,源自姓氏，該姓氏原取自古英語中意為「沼澤小鎮」的地名。,,,,,,
男,Ferdi,,,德語、荷蘭語,(Ferdinand) 的縮寫。,,,,,,
男,Ferdinand,,,德語、法語、荷蘭語、英語、斯洛伐克語、捷克語、斯洛維尼亞語、克羅埃西亞語,源自Fredenandus，哥德名字的拉丁化形式，由friþus（意為「和平」）（或許是farþa（意為「旅程」）[1]）和nanþa（意為「大膽、英勇」）組成。西哥德人將這個名字帶到了伊比利半島，並傳入西班牙和葡萄牙的王室。之後，從16世紀出生於西班牙的斐迪南一世開始，這個名字在神聖羅馬帝國和奧地利的哈布斯堡王室中逐漸流行。葡萄牙探險家斐迪南·麥哲倫（1480-1521）的葡萄牙語名字是Fernão de Magalhães，他是首次環球航行探險隊的領袖。,,,,,,
男,Ferdy,,,英語,(Ferdinand) 的暱稱。,,,,,,
男,Fergal,,,愛爾蘭語,源自古蓋爾語，意為「勇猛的人」。,,,,,,
男,Fergus,,,蓋爾語,意為「男子氣概的力量」，在蘇格蘭和愛爾蘭傳統中常見。,,,,,,
,Fermin,,,西班牙語，巴斯克,來自拉丁語，意為「堅固的」、「穩定的」。,,,,,,
女,Fern,,Ferne,英語,源自於英語中表示植物的單字，最後源自於古英語fearn。自19世紀末以來，它一直被用作名字。,,,,,,
女,Fernanda,,,西班牙語、葡萄牙語,Ferdinand 的女性形式，意為「勇敢的冒險者」。,,,,,,
男,Fernando,,,西班牙語、葡萄牙語,Ferdinand 的變體，意為「大膽冒險者」。,,,,,,
女,Ferne,,Fern,英語,(Fern) 的變體。,,,,,,
女,Fernie,,,英語,Fern 的暱稱形式，象徵自然與柔和。,,,,,,
男女,Ferris,,,英語,源自愛爾蘭姓氏 Ó Fearghusa，意為「強壯的人」。,,,,,,
女,Fey,,,英語,意為「古怪的」、「通靈的」，也可能是 Fay 的變體。,,,,,,
女,Feyza,,,土耳其語,意為「恩典」、「福氣」。,,,,,,
男,Fidel,,,拉丁語、西班牙語,意為「忠誠的」，如古巴領導人 Fidel Castro。,,,,,,
女,Fidelia,,,拉丁語,Fidel 的女性形式，意為「忠貞的」。,,,,,,
男,Fielding,,,英語,意為「田地的守護者」，源於地名姓氏。,,,,,,
女,Fifi,,,法語,Josephine 或 Fiona 的暱稱，具有可愛意味。,,,,,,
男,Finbar,,,愛爾蘭語,意為「公平之子」或「美麗之髮」。,,,,,,
男,Finlay,,,蘇格蘭語、英語,Fionnlagh 的英語化形式。這種拼寫在蘇格蘭更為常見，但自 2007 年以來，在英格蘭和威爾士，變體 Finley 更為流行。,,,,,,
男女,Finley,,,英語,Finlay 的變體。這是迄今為止在美國最流行的拼寫，最近在美國，它作為女性名字的使用越來越普遍。,,,,,,
男,Finn (1),,,愛爾蘭神話、古愛爾蘭語[1]、愛爾蘭語、英語、荷蘭語、德語,Fionn 的古愛爾蘭語形式，以及通常的英語化拼寫（愛爾蘭英雄的名字英語化為 Finn McCool）。作為姓氏，它由馬克吐溫小說中的人物哈克貝利費恩 (Huckleberry Finn) 使用。,,,,,,
